condition,feature_name,feature_family,corr_holistic_score,p_holistic_score,corr_word_count,p_word_count,corr_char_count,p_char_count,corr_sentence_count,p_sentence_count,corr_paragraph_count,p_paragraph_count,corr_component_count,p_component_count,corr_coverage,p_coverage
POS,pos_end_rank_3,position,-0.4291631779239914,0.0,-0.4362740734995354,0.0,-0.4398728844665124,0.0,-0.3894881768257217,0.0,-0.15685346213527623,1.5967472743079657e-69,-0.5387694854736719,0.0,0.010261444162972524,0.251839020809113
POS,pos_end_rank_4,position,-0.34106975837325965,0.0,-0.38441200553396804,0.0,-0.3912776286124435,0.0,-0.34189717954755733,0.0,-0.1275888518551783,2.0086385583962196e-46,-0.4123443784962141,0.0,0.012363488779047489,0.16738801101403872
POS,pos_end_rank_5,position,-0.11691294290769094,3.28159996280974e-39,-0.21329554213783875,2.7634212077781707e-128,-0.2231797425882751,1.4294158108800347e-140,-0.1783796297116367,1.0962419891280677e-89,-0.047697887976513115,9.858701894182879e-08,-0.17816519769346634,1.7957567813740453e-89,0.051898800554807924,6.659741087282034e-09
POS,pos_end_rank_6,position,0.14165850250354195,6.458879779018592e-57,0.034050415510427715,0.00014271918519376308,0.021181365466455753,0.0180046197289535,0.056640542010888736,2.4523068487339643e-10,0.04100284479893925,4.6367174872089355e-06,0.12338111970873067,1.6694954436406764e-43,0.0862563719622794,4.916936368367443e-22
POS,pos_end_rank_7,position,0.3160209886959336,2.8140229792088975e-287,0.22613728190769322,2.289948423624581e-144,0.2094636716935152,1.0991109762395956e-123,0.23242393152159063,1.2840038812336033e-152,0.12781562973354949,1.3889939591831797e-46,0.37760697088768613,0.0,0.09376485517569716,9.248072719720386e-26
POS,pos_end_rank_8,position,0.4497885640598449,0.0,0.3725737958132055,0.0,0.359721944987784,0.0,0.3661510133479773,0.0,0.1661831235064033,6.289119924206827e-78,0.5328860425498341,0.0,0.10195149703873219,3.545023517913122e-30
POS,pos_end_rank_9,position,0.41880916639422516,0.0,0.3967714923713696,0.0,0.3881411450943074,0.0,0.3652605111350716,0.0,0.1683911483145855,5.431157491670743e-80,0.6553379161998418,0.0,0.07590921403896954,2.0878698848385046e-17
POS,pos_gap_count,position,0.24488771666746675,1.0071420563316871e-169,0.2606843803007703,7.455023609556582e-193,0.2509523293704348,2.0725221957412236e-178,0.2057029020954516,2.9318153801323023e-119,0.08316670844228398,1.3642323444714283e-20,0.2576871735088071,2.440630893350771e-188,0.02540323004821923,0.00455170594208092
POS,pos_gap_len_max,position,0.008791028107236488,0.326254584435119,0.03490790833210963,9.649240336275192e-05,0.024300217871032984,0.0066489995318006635,0.05417039579375908,1.4174463457476501e-09,0.037065481235323564,3.466846818343861e-05,-0.03949740420905596,1.0229010719349765e-05,-0.008435243034960552,0.34621602389481704
POS,pos_gap_len_mean,position,-0.04124297602258948,4.076642362848833e-06,-0.020416376179481083,0.02260345514902916,-0.02922438471171522,0.0010981472046004649,0.017188371587868154,0.05491928770147831,0.01819959761891214,0.04210698314790395,-0.08297701387492137,1.6664513207704458e-20,-0.02565669080749736,0.004163839144577628
POS,pos_gap_len_std,position,0.05952857892612088,2.86645480350896e-11,0.07687476492182363,8.176176440661873e-18,0.06841370082427974,2.0332323938493716e-14,0.07371817554837239,1.6780778751421847e-16,0.045090057219339216,4.7133226188957033e-07,0.014177420588664806,0.11336941819310048,0.014658835182994974,0.10163154454184613
POS,pos_gap_pos_mean,position,0.05869118617149709,5.398188041989396e-11,0.07299739138684766,3.287481746046277e-16,0.06155697996171801,5.96833686377352e-12,0.0688205033149078,1.4249768431149943e-14,0.045867839380839104,2.9814287534520266e-07,0.09000376188992668,7.430546771885735e-24,0.0068040408005173875,0.4473771065441261
POS,pos_len_max,position,-0.45754409336077506,0.0,-0.2834033200436257,4.828526078646972e-229,-0.28797437893011346,9.4623666661905e-237,-0.26963800755125067,1.0653694647181938e-206,-0.1769124737838486,3.169404396812932e-88,-0.6475136676110413,0.0,0.0757431990782344,2.4501769169637187e-17
