held_out_prompt,condition,n_train,n_test,qwk,rmse,mae,exact_accuracy,adjacent_accuracy,qwk_T2,qwk_T3,qwk_POS,qwk_POS_TRANS,qwk_T3_PLUS_POS,qwk_REAL_BOUNDARY_SHUFFLED_LABEL,qwk_RANDOM_BOUNDARY_TRUE_SEQUENCE,delta_T3_T2,delta_POS_T2,delta_POS_TRANS_T2,delta_T3_PLUS_POS_T2,delta_T3_shuffled,delta_T3_random_boundary,best_condition
"""A Cowboy Who Rode the Waves""",prompt_delta_summary,,,,,,,,0.6591379001967448,0.6969830433825148,0.6894722533964408,0.6892009324523773,0.7035341487293336,0.6781721812849979,0.6764636727016224,0.037845143185770036,0.030334353199696018,0.03006303225563256,0.04439624853258883,0.018810862097516923,0.02051937068089238,T3_PLUS_POS
Car-free cities,prompt_delta_summary,,,,,,,,0.7070910821305791,0.7239173526369822,0.7197647713659958,0.7284298556026978,0.7414837285614797,0.7156091524288426,0.7232491679232986,0.016826270506403063,0.012673689235416674,0.021338773472118655,0.034392646430900564,0.008308200208139604,0.0006681847136835728,T3_PLUS_POS
Cell phones at school,prompt_delta_summary,,,,,,,,0.7173699079009981,0.7201550424714862,0.7177033492822966,0.7248322147651007,0.7379920252002738,0.7105042603715603,0.722911151028103,0.0027851345704881236,0.0003334413812985382,0.007462306864102652,0.020622117299275766,0.00965078209992587,-0.0027561085566167876,T3_PLUS_POS
Community service,prompt_delta_summary,,,,,,,,0.6095134044877721,0.6543874516059353,0.6489402250468157,0.6583267785717872,0.6737396140223113,0.6166895305651287,0.63212843329479,0.04487404711816312,0.03942682055904356,0.04881337408401509,0.06422620953453917,0.0376979210408066,0.022259018311145295,T3_PLUS_POS
Distance learning,prompt_delta_summary,,,,,,,,0.8236698835195777,0.8384619240524032,0.8150902537486843,0.8186753604278847,0.833137380899338,0.8279810556191395,0.8334388960600276,0.014792040532825457,-0.008579629770893438,-0.004994523091693015,0.00946749737976027,0.01048086843326368,0.005023027992375528,T3
Does the electoral college work?,prompt_delta_summary,,,,,,,,0.6776337645964388,0.6956205130480915,0.6965415269850718,0.6988492031692572,0.7111028703189441,0.692016077477316,0.6830369336134039,0.017986748451652712,0.01890776238863301,0.02121543857281849,0.03346910572250539,0.0036044355707754994,0.012583579434687575,T3_PLUS_POS
Driverless cars,prompt_delta_summary,,,,,,,,0.7347336054858131,0.7466834785894414,0.7562377661677089,0.7531341197747544,0.7537353211972411,0.7339720305121684,0.7421979209984908,0.011949873103628272,0.021504160681895756,0.018400514288941294,0.019001715711427947,0.01271144807727298,0.004485557590950595,POS
Exploring Venus,prompt_delta_summary,,,,,,,,0.7457167289569524,0.7525641164317624,0.769207337206008,0.7634500080158179,0.7591629390755574,0.7538094880852586,0.759747346213302,0.006847387474809952,0.023490608249055578,0.01773327905886546,0.013446210118605029,-0.0012453716534962522,-0.007183229781539624,POS
Facial action coding system,prompt_delta_summary,,,,,,,,0.766898164704247,0.7770672850448195,0.7819567008423651,0.7856251629632355,0.7899103575126731,0.7787756360980553,0.7791270641578523,0.01016912034057249,0.01505853613811814,0.018726998258988492,0.023012192808426146,-0.001708351053235857,-0.002059779113032789,T3_PLUS_POS
Grades for extracurricular activities,prompt_delta_summary,,,,,,,,0.6284991598441243,0.6363812155591397,0.6458777343996107,0.6498903030528846,0.6468304503166012,0.6278489557137941,0.6319185052014242,0.007882055715015435,0.017378574555486415,0.021391143208760344,0.018331290472476947,0.008532259845345669,0.004462710357715505,POS_TRANS
Mandatory extracurricular activities,prompt_delta_summary,,,,,,,,0.7671365489982327,0.787072015932056,0.7874983764125211,0.7968942895494323,0.79985655193472,0.7789294613052451,0.7730431901281587,0.01993546693382331,0.02036182741428838,0.02975774055119962,0.03272000293648736,0.008142554626810905,0.014028825803897305,T3_PLUS_POS
Phones and driving,prompt_delta_summary,,,,,,,,0.7320889447598635,0.7401822261262909,0.7450587523219168,0.7482676009170768,0.7485720166726701,0.7221330326120722,0.7380517133614207,0.008093281366427396,0.012969807562053237,0.016178656157213256,0.016483071912806624,0.018049193514218742,0.002130512764870196,T3_PLUS_POS
Seeking multiple opinions,prompt_delta_summary,,,,,,,,0.6668280747752588,0.6830252755817837,0.6896515816897657,0.6879354192201279,0.6950465109293174,0.6657482785170407,0.6647905398848577,0.01619720080652487,0.022823506914506853,0.02110734444486906,0.0282184361540585,0.01727699706474306,0.01823473569692602,T3_PLUS_POS
Summer projects,prompt_delta_summary,,,,,,,,0.7287188603883361,0.7422484352821024,0.7414366445107308,0.7479856805603314,0.7605843457062333,0.7327344220334024,0.7294837003194669,0.013529574893766272,0.01271778412239466,0.019266820171995325,0.031865485317897235,0.009514013248699937,0.012764734962635527,T3_PLUS_POS
The Face on Mars,prompt_delta_summary,,,,,,,,0.7081828521260252,0.7217655228026163,0.7292020349927619,0.7333903242673483,0.7319386889010935,0.7208684093929996,0.7250196795408954,0.013582670676591135,0.021019182866736763,0.02520747214132313,0.023755836775068317,0.0008971134096167344,-0.0032541567382791126,POS_TRANS
